date,price_A,price_B
2020-01-02,132.0,100.0
2020-01-03,131.0022,98.9654
2020-01-06,132.1508,99.7109
2020-01-07,133.1193,100.6532
2020-01-08,130.171,98.7084
2020-01-09,127.7771,97.4314
2020-01-10,127.9239,97.556
2020-01-13,128.2648,97.248
2020-01-14,128.3762,97.2317
2020-01-15,127.1636,96.4058
2020-01-16,128.4118,97.2573
2020-01-17,129.0048,98.0167
2020-01-20,129.0714,98.0814
2020-01-21,130.6027,99.1933
2020-01-22,131.2336,99.6581
2020-01-23,130.3712,98.8054
2020-01-24,130.944,99.1705
2020-01-27,129.8807,98.2241
2020-01-28,130.8058,99.0907
2020-01-29,130.9717,99.0413
2020-01-30,131.1182,98.8583
2020-01-31,129.9152,98.1875
2020-02-03,131.2215,99.3952
2020-02-04,131.3609,99.2418
2020-02-05,130.7125,98.8176
2020-02-06,130.5835,98.4702
2020-02-07,131.0744,98.9958
2020-02-10,131.863,99.3582
2020-02-11,132.3336,99.7692
2020-02-12,132.871,100.1999
2020-02-13,136.004,102.369
2020-02-14,135.2434,101.9538
2020-02-17,134.2286,101.4329
2020-02-18,132.9948,100.6108
2020-02-19,133.8901,101.2324
2020-02-20,134.9456,102.3818
2020-02-21,134.9773,102.2652
2020-02-24,133.7234,101.4096
2020-02-25,132.9483,100.5769
2020-02-26,133.1646,101.2334
2020-02-27,134.0073,101.9887
2020-02-28,134.3806,102.5441
2020-03-02,133.4152,101.8639
2020-03-03,133.9264,102.1007
2020-03-04,134.1478,102.2199
2020-03-05,134.4771,102.4437
2020-03-06,135.6996,103.3403
2020-03-09,136.1416,103.5716
2020-03-10,136.872,104.2772
2020-03-11,137.2394,104.3477
2020-03-12,137.8584,104.6498
2020-03-13,138.8439,105.3126
2020-03-16,137.0138,103.7891
2020-03-17,136.6463,103.4579
2020-03-18,136.5122,102.9724
2020-03-19,135.5472,102.3166
2020-03-20,135.029,102.0355
2020-03-23,136.7817,103.5723
2020-03-24,135.339,102.6794
2020-03-25,136.3411,103.6785
2020-03-26,133.927,101.9483
2020-03-27,133.5503,101.6074
2020-03-30,133.9257,101.7729
2020-03-31,134.7694,102.3713
2020-04-01,135.5681,103.102
2020-04-02,136.9295,103.9232
2020-04-03,136.6712,103.5614
2020-04-06,136.0038,103.0837
2020-04-07,136.993,103.972
2020-04-08,136.898,103.7732
2020-04-09,135.2368,102.4578
2020-04-10,133.3614,101.3032
2020-04-13,132.1852,100.3761
2020-04-14,132.9445,100.8764
2020-04-15,132.9296,101.0201
2020-04-16,133.943,101.7201
2020-04-17,133.0498,101.2864
2020-04-20,133.6855,101.4471
2020-04-21,134.8581,102.0837
2020-04-22,134.3631,101.7684
2020-04-23,135.0524,102.2343
2020-04-24,133.5415,101.5599
2020-04-27,132.8365,101.1918
2020-04-28,132.3598,100.8063
2020-04-29,130.625,99.608
2020-04-30,131.5595,100.0942
2020-05-01,131.5369,99.6255
2020-05-04,131.2503,99.6379
2020-05-05,131.7002,100.1181
2020-05-06,132.4057,100.5661
2020-05-07,133.7346,101.2375
2020-05-08,133.2764,101.1379
2020-05-11,132.8127,100.7107
2020-05-12,133.1874,100.6304
2020-05-13,130.5269,98.9467
2020-05-14,128.3672,97.5251
2020-05-15,126.6514,96.2436
2020-05-18,125.3421,95.2886
2020-05-19,126.1195,95.6703
2020-05-20,125.095,94.808
2020-05-21,124.1996,94.4501
2020-05-22,126.018,95.6852
2020-05-25,125.4806,95.345
2020-05-26,126.7877,96.0507
2020-05-27,125.4785,95.1582
2020-05-28,125.0942,94.9629
2020-05-29,124.1145,94.065
2020-06-01,123.9185,93.7466
2020-06-02,125.0543,94.5377
2020-06-03,122.4989,92.9187
2020-06-04,123.2029,93.3233
2020-06-05,123.2448,93.5454
2020-06-08,122.635,92.9913
2020-06-09,120.5724,91.6562
2020-06-10,120.8529,91.7224
2020-06-11,120.0716,91.238
2020-06-12,120.0963,91.4505
2020-06-15,120.414,91.4705
2020-06-16,122.4648,92.9475
2020-06-17,122.0708,92.7252
2020-06-18,121.2785,91.781
2020-06-19,121.3855,91.9457
2020-06-22,121.677,92.1482
2020-06-23,123.4009,93.4092
2020-06-24,124.2658,94.1926
2020-06-25,124.8492,94.5293
2020-06-26,126.5303,95.9228
2020-06-29,124.9755,94.7892
2020-06-30,124.5714,94.1847
2020-07-01,123.159,93.3161
2020-07-02,122.094,92.953
