date,COMP_01,COMP_02,COMP_03,COMP_04,COMP_05,COMP_06,COMP_07,COMP_08,COMP_09,COMP_10
2025-03-31,111.664592,101.771394,92.254158,83.118242,76.218499,69.432681,62.969232,57.092389,51.639474,46.636571
2025-04-01,113.501023,100.871595,92.866555,83.939873,73.764426,70.243682,63.42821,53.823612,52.291906,47.880635
2025-04-02,115.352851,102.990037,95.714715,86.437573,74.245995,70.106717,64.213984,54.516113,54.972897,47.952504
2025-04-03,114.928291,102.607213,98.318327,89.968044,75.593336,71.960426,65.987369,53.770544,54.686907,49.513319
2025-04-04,114.072948,98.898771,95.70115,88.758004,72.290558,71.445165,65.870539,54.441467,51.798909,48.149639
2025-04-07,116.385267,98.892147,96.940453,89.025542,73.349846,70.514295,67.137037,58.035103,54.618779,48.520531
2025-04-08,113.687271,95.200019,95.674756,86.636665,72.197605,67.441266,63.646378,56.22818,50.032272,45.729685
2025-04-09,116.257546,95.353456,92.562183,86.155809,75.83483,67.706816,62.963674,56.396282,52.963324,46.129035
2025-04-10,113.678196,96.809407,91.562769,86.302311,72.444117,68.547023,62.279754,57.657409,53.597768,45.241986
2025-04-11,115.017026,97.951313,97.025632,88.992718,75.564169,70.782384,60.841528,56.799777,57.03885,46.803658
2025-04-14,114.961551,99.570164,98.173072,93.583159,75.4674,70.501064,62.165245,59.412209,57.996862,48.818105
2025-04-15,113.599922,98.349285,96.498065,91.581283,75.402343,68.166882,62.488125,55.316832,53.235281,51.617612
2025-04-16,112.900873,100.53886,97.755678,94.306334,79.91776,69.35308,64.718185,55.753339,55.131743,50.781865
2025-04-17,115.593647,101.355066,96.945264,94.917917,80.393653,71.958647,63.302628,55.018019,56.832154,50.832777
2025-04-18,114.554592,101.145906,94.432125,94.351409,76.746846,68.293992,62.505055,52.410717,54.246225,48.414367
2025-04-21,118.178501,104.228326,98.168602,99.512442,83.313833,71.469641,67.982797,55.726516,56.422059,52.814277
2025-04-22,119.208059,108.016901,98.258275,101.915241,86.063427,73.771029,72.463575,55.654785,58.087542,54.822548
2025-04-23,119.349197,104.22038,93.746576,99.105462,84.395352,70.466526,69.548341,52.926713,56.512249,54.223864
2025-04-24,117.080906,101.278469,92.768414,96.03845,85.396154,68.241183,68.75876,49.633283,55.343672,51.819746
2025-04-25,116.944586,102.26886,93.286711,98.084392,85.951154,69.896816,69.627639,49.409593,57.53066,52.34858
2025-04-28,117.044921,102.126305,94.767594,96.87524,83.88703,69.662571,69.405738,49.184639,58.648402,55.915043
2025-04-29,116.203805,100.485073,91.599414,94.257155,80.603813,65.655523,67.550586,48.926092,57.225181,54.701082
2025-04-30,117.786425,102.551769,93.327272,94.691563,83.614925,67.161184,69.498696,48.865373,61.542551,59.219272
2025-05-01,116.563356,101.145325,91.937325,95.969447,85.623115,66.178301,67.678328,47.275007,62.260907,59.563954
2025-05-02,114.322684,98.500324,88.313855,94.439343,84.425543,65.515978,65.057828,46.641604,59.211009,57.623253
2025-05-05,116.471787,99.917444,87.137473,97.28259,82.230292,63.935283,61.813532,45.244994,59.141516,59.069907
2025-05-06,118.385585,100.20302,88.730456,94.340083,83.1469,62.794165,61.721742,44.437856,58.085926,59.65511
2025-05-07,114.931087,97.953047,86.216616,91.782131,82.382762,62.420972,57.020739,43.139129,53.984649,56.699629
